City,Date,PM2.5,PM10,NO2,CO,SO2
Đà Nẵng,1/27/2021,,,1,9,6
Nha Trang,1/27/2021,,,4,2,3
Hà Nội,1/27/2021,84,64,8,5,
Hà Nội,1/27/2021,72,47,8,5,
Hà Nội,1/27/2021,82,56,19,9,
Hà Nội,1/27/2021,65,46,,4,
Cao Bằng,1/27/2021,191,199,,,1
Hồ Chí Minh ,1/29/2021,91,0,,,
Hà Nội,1/29/2021,,0,,,
Hà Nội,1/29/2021,164,0,14.2,0.2,5.1
Gia Lai,1/29/2021,30,22,5,2,2
Thừa Thiên Huế,1/29/2021,35,20,,2,
Hà Nội,1/29/2021,141,99,24,12,1
Bắc Ninh,1/29/2021,75,55,19,5,13
Lào Cai,1/29/2021,113,53,3,30,46
Hạ Long,1/29/2021,46,31,5,,
Quảng Ninh,1/29/2021,16,12,22,6,20
Bắc Ninh,1/29/2021,118,70,32,5,25
Bắc Ninh,1/29/2021,119,74,12,3,9
Hà Nội,1/29/2021,145,98,54,38,
Hà Nội,1/29/2021,96,60,22,6,
Hà Nội,1/29/2021,106,64,30,10,
Hà Nội,1/29/2021,134,74,18,6,1
Đà Nẵng,1/29/2021,,,1,6,6
Nha Trang,1/29/2021,,,5,4,3
Hà Nội,1/29/2021,139,97,15,10,
Hà Nội,1/29/2021,94,61,16,10,
Hà Nội,1/29/2021,138,96,28,18,
Hà Nội,1/29/2021,99,65,,10,
Cao Bằng,1/29/2021,139,126,,,1
Hồ Chí Minh ,1/30/2021,87,0,,,
Hà Nội,1/30/2021,,0,,,
Hà Nội,1/30/2021,215,0,13.3,0.2,3.1
Gia Lai,1/30/2021,32,22,3,2,2
Thừa Thiên Huế,1/30/2021,21,20,,1,
Hà Nội,1/30/2021,183,160,29,13,1
Bắc Ninh,1/30/2021,137,71,19,7,4
Lào Cai,1/30/2021,175,69,7,38,150
Hạ Long,1/30/2021,54,28,5,,
Quảng Ninh,1/30/2021,12,8,12,5,99
Bắc Ninh,1/30/2021,182,99,27,6,3
Bắc Ninh,1/30/2021,119,74,21,3,4
Hà Nội,1/30/2021,192,147,48,34,
Hà Nội,1/30/2021,161,102,34,13,
Hà Nội,1/30/2021,178,118,49,17,
Hà Nội,1/30/2021,186,128,31,17,2
Đà Nẵng,1/30/2021,,,1,13,6
Nha Trang,1/30/2021,,,2,2,3
Hà Nội,1/30/2021,189,158,35,15,
Hà Nội,1/30/2021,156,104,35,15,
Hà Nội,1/30/2021,191,161,45,20,
Hà Nội,1/30/2021,176,112,,16,
Cao Bằng,1/30/2021,189,168,,,1
Hồ Chí Minh ,1/31/2021,59,,,,
Hà Nội,1/31/2021,,,,,
Hà Nội,1/31/2021,117,0,9.2,0.1,1.6
Gia Lai,1/31/2021,20,17,3,1,2
Thừa Thiên Huế,1/31/2021,19,27,,1,
Hà Nội,1/31/2021,180,131,23,17,1
Bắc Ninh,1/31/2021,60,39,14,3,2
Lào Cai,1/31/2021,135,65,3,30,22
Hạ Long,1/31/2021,33,17,5,,
Quảng Ninh,1/31/2021,10,7,43,5,99
Bắc Ninh,1/31/2021,97,60,30,3,5
Bắc Ninh,1/31/2021,119,74,14,2,2
Hà Nội,1/31/2021,175,121,40,41,
Hà Nội,1/31/2021,140,71,19,5,
Hà Nội,1/31/2021,140,82,24,9,
Hà Nội,1/31/2021,184,111,21,8,1
Đà Nẵng,1/31/2021,,,1,7,6
Nha Trang,1/31/2021,,,11,3,4
Hà Nội,1/31/2021,179,132,23,14,
Hà Nội,1/31/2021,159,88,12,7,
Hà Nội,1/31/2021,183,132,28,19,
Hà Nội,1/31/2021,150,78,,7,
Cao Bằng,1/31/2021,177,117,,,1
Hồ Chí Minh ,2/3/2021,59,,,,
Hà Nội,2/3/2021,,,,,
Hà Nội,2/3/2021,161,0,12.8,0.1,4.6
Gia Lai,2/3/2021,24,16,2,1,2
Thừa Thiên Huế,2/3/2021,54,42,,1,
Hà Nội,2/2/2021,111,78,28,18,1
Bắc Ninh,2/2/2021,34,28,15,2,2
Lào Cai,2/3/2021,155,68,4,28,19
Hạ Long,2/2/2021,43,22,,,
Quảng Ninh,2/2/2021,5,3,9,5,99
Bắc Ninh,2/2/2021,115,68,27,3,3
Bắc Ninh,2/2/2021,119,74,7,3,4
Hà Nội,2/2/2021,144,98,38,40,
Hà Nội,2/2/2021,97,56,16,6,
