Station ID	Date time	PM2.5	PM10	NO2	CO	SO2
5507	27/1/2021 2:00 PM	45	26	5		
11778	27/1/2021 2:00 PM	22	13	18	6	7
12958	27/1/2021 3:00 PM	142	77	34	5	11
12957	27/1/2021 3:00 PM	106	60	5	4	3
13015	27/1/2021 2:00 PM	88	58	50	48	
13018	27/1/2021 2:00 PM	71	47	13	4	
13019	27/1/2021 2:00 PM	63	46	21	5	
13026	27/1/2021 2:00 PM	80	53	12	5	1
1584	27/1/2021 3:00 PM			1	9	6
1585	27/1/2021 3:00 PM			4	2	3
13017	27/1/2021 2:00 PM	84	64	8	5	
13020	27/1/2021 2:00 PM	72	47	8	5	
13013	27/1/2021 2:00 PM	82	56	19	9	
13014	27/1/2021 2:00 PM	65	46		4	
13252	27/1/2021 3:00 PM	191	199			1
8767	29/1/2021 2:00 PM	91	0			
8688	29/1/2021 3:00 PM		0			
8641	29/1/2021 3:00 PM	164	0	14.2	0.2	5.1
13012	29/1/2021 3:00 PM	30	22	5	2	2
12488	29/1/2021 2:00 PM	35	20		2	
13251	29/1/2021 2:00 PM	141	99	24	12	1
12976	29/1/2021 2:00 PM	75	55	19	5	13
13250	29/1/2021 3:00 PM	113	53	3	30	46
5507	29/1/2021 2:00 PM	46	31	5		
11778	29/1/2021 1:00 PM	16	12	22	6	20
12958	29/1/2021 2:00 PM	118	70	32	5	25
12957	29/1/2021 2:00 PM	119	74	12	3	9
13015	29/1/2021 2:00 PM	145	98	54	38	
13018	29/1/2021 2:00 PM	96	60	22	6	
13019	29/1/2021 2:00 PM	106	64	30	10	
13026	29/1/2021 2:00 PM	134	74	18	6	1
1584	29/1/2021 2:00 PM			1	6	6
1585	29/1/2021 2:00 PM			5	4	3
13017	29/1/2021 2:00 PM	139	97	15	10	
13020	29/1/2021 2:00 PM	94	61	16	10	
13013	29/1/2021 2:00 PM	138	96	28	18	
13014	29/1/2021 2:00 PM	99	65		10	
13252	29/1/2021 3:00 PM	139	126			1
8767	30/1/2021 9:00 PM	87	0			
8688	30/1/2021 10:00 PM		0			
8641	30/1/2021 9:00 PM	215	0	13.3	0.2	3.1
13012	30/1/2021 10:00 PM	32	22	3	2	2
12488	30/1/2021 10:00 PM	21	20		1	
13251	30/1/2021 7:00 PM	183	160	29	13	1
12976	30/1/2021 10:00 PM	137	71	19	7	4
13250	30/1/2021 10:00 PM	175	69	7	38	150
5507	30/1/2021 9:00 PM	54	28	5		
11778	30/1/2021 9:00 PM	12	8	12	5	99
12958	30/1/2021 10:00 PM	182	99	27	6	3
12957	30/1/2021 10:00 PM	119	74	21	3	4
13015	30/1/2021 8:00 PM	192	147	48	34	
13018	30/1/2021 8:00 PM	161	102	34	13	
13019	30/1/2021 8:00 PM	178	118	49	17	
13026	30/1/2021 8:00 PM	186	128	31	17	2
1584	30/1/2021 9:00 PM			1	13	6
1585	30/1/2021 10:00 PM			2	2	3
13017	30/1/2021 8:00 PM	189	158	35	15	
13020	30/1/2021 8:00 PM	156	104	35	15	
13013	30/1/2021 8:00 PM	191	161	45	20	
13014	30/1/2021 8:00 PM	176	112		16	
13252	30/1/2021 10:00 PM	189	168			1
8767	31/1/2021 11:00 PM	59				
8688	31/1/2021 10:00 PM					
8641	31/1/2021 10:00 PM	117	0	9.2	0.1	1.6
13012	31/1/2021 11:00 PM	20	17	3	1	2
12488	31/1/2021 11:00 PM	19	27		1	
13251	31/1/2021 9:00 PM	180	131	23	17	1
12976	31/1/2021 11:00 PM	60	39	14	3	2
13250	31/1/2021 11:00 PM	135	65	3	30	22
5507	31/1/2021 11:00 PM	33	17	5		
11778	31/1/2021 10:00 PM	10	7	43	5	99
12958	31/1/2021 10:00 PM	97	60	30	3	5
12957	31/1/2021 11:00 PM	119	74	14	2	2
13015	31/1/2021 9:00 PM	175	121	40	41	
13018	31/1/2021 9:00 PM	140	71	19	5	
13019	31/1/2021 9:00 PM	140	82	24	9	
13026	31/1/2021 8:00 PM	184	111	21	8	1
1584	31/1/2021 11:00 PM			1	7	6
1585	31/1/2021 11:00 PM			11	3	4
13017	31/1/2021 9:00 PM	179	132	23	14	
13020	31/1/2021 9:00 PM	159	88	12	7	
13013	31/1/2021 9:00 PM	183	132	28	19	
13014	31/1/2021 9:00 PM	150	78		7	
13252	31/1/2021 11:00 PM	177	117			1
8767	3/2/2021 0:00	59				
8688	3/2/2021 0:00					
8641	3/2/2021 0:00	161	0	12.8	0.1	4.6
13012	3/2/2021 0:00	24	16	2	1	2
12488	3/2/2021 0:00	54	42		1	
13251	2/2/2021 21:00	111	78	28	18	1
12976	2/2/2021 10:00	34	28	15	2	2
13250	3/2/2021 0:00	155	68	4	28	19
5507	2/2/2021 23:00	43	22			
11778	2/2/2021 23:00	5	3	9	5	99
12958	2/2/2021 10:00	115	68	27	3	3
12957	2/2/2021 11:00	119	74	7	3	4
13015	2/2/2021 21:00	144	98	38	40	
13018	2/2/2021 21:00	97	56	16	6	
13019	2/2/2021 21:00	95	59	36	10	
13026	2/2/2021 21:00	113	70	18	4	1
1584	2/2/2021 23:00			1	3	6
1585	3/2/2021 0:00			7	2	3
13017	2/2/2021 21:00	119	81	23	17	
13020	2/2/2021 21:00	98	57	12	7	
13013	2/2/2021 21:00	131	94	26	21	
13014	2/2/2021 21:00	105	61		7	
13252	2/2/2021 17:00	53	83			1
8767	3/2/2021 21:00	76				
8688	3/2/2021 21:00					
8641	3/2/2021 21:00	93	0	11.5	0.1	4.6
13012	3/2/2021 21:00	37	28	5	2	2
12488	3/2/2021 21:00	30	32		2	
13251	3/2/2021 20:00	108	67	22	13	1
12976	3/2/2021 21:00	40	31	6	1	2
13250	3/2/2021 21:00	183	90	6	31	54
5507	3/2/2021 21:00	45	23			
11778	3/2/2021 20:00	5	3	10	6	99
12958	3/2/2021 7:00	86	53	9	2	2
12957	3/2/2021 21:00	119	74	4	3	1
13015	3/2/2021 20:00	102	76	35	38	
13018	3/2/2021 20:00	82	52	9	4	
13019	3/2/2021 20:00	83	56	27	6	
13026	3/2/2021 20:00	103	60	14	2	1
1584	3/2/2021 21:00			1	13	6
1585	3/2/2021 21:00			2	1	3
13017	3/2/2021 20:00	98	74	25	14	
13020	3/2/2021 20:00	75	56	7	5	
13013	3/2/2021 20:00	102	76	27	20	
13014	3/2/2021 20:00	74	53		5	
13252	2/2/2021 17:00	53	83			1
8767	5/2/2021 14:00	137				
8688	5/2/2021 14:00					
8641	5/2/2021 13:00	124	0	19.2	0.1	4.6
13012	5/2/2021 14:00	14	12	5	2	1
12488	5/2/2021 14:00	38	90		3	
13251	5/2/2021 13:00	114	81	18	9	1
12976	5/2/2021 14:00	50	40	9	2	3
13250	5/2/2021 14:00	54	14	4	31	59
5507	5/2/2021 13:00	31	22			
11778	5/2/2021 13:00	8	5	14	4	99
12958	5/2/2021 14:00	96	58	4	2	4
12957	5/2/2021 14:00			2	2	2
13015	5/2/2021 13:00	123	82	25	18	
13018	5/2/2021 13:00	82	51	15	4	
13019	5/2/2021 13:00	89	60	23	5	
13026	5/2/2021 13:00	104	68	14	1	1
1584	5/2/2021 14:00			1	8	6
1585	5/2/2021 14:00			4	2	3
13017	5/2/2021 13:00	112	69	14	13	
13020	5/2/2021 13:00	78	52	8	4	
13013	5/2/2021 13:00	116	80	17	15	
13014	5/2/2021 13:00	94	58		6	
13252	5/2/2021 14:00	90	99			1
8767	6/2/2021 17:00	91				
8688	6/2/2021 18:00					
8641	6/2/2021 11:00	139	0	20.6	0.2	5.1
13012	6/2/2021 18:00	25	25	4	2	1
12488	6/2/2021 18:00	39	69		2	
13251	6/2/2021 17:00	85	60	14	7	2
12976	6/2/2021 18:00	75	77	12	4	2
13250	6/2/2021 18:00	45	8	2	32	41
5507	6/2/2021 14:00	22	13			
11778	6/2/2021 17:00	5	4	10	4	99
12958	6/2/2021 18:00	149	84	6	3	4
12957	6/2/2021 18:00			6	3	2
13015	6/2/2021 17:00	85	67	34	35	
13018	6/2/2021 17:00	61	47	8	4	
13019	6/2/2021 17:00	64	51	30	9	
13026	6/2/2021 17:00	73	62	23	2	1
1584	6/2/2021 17:00			1	14	6
1585	6/2/2021 17:00			2	3	4
13017	6/2/2021 17:00	85	67	19	11	
13020	6/2/2021 17:00	55	40	7	6	
13013	6/2/2021 17:00	85	68	23	18	
13014	6/2/2021 17:00	59	43		6	
13252	6/2/2021 18:00	162	121			1
8767	9/2/2021 15:00	102				
8688	9/2/2021 15:00					
8641	9/2/2021 15:00	70	0	9.6	0.1	3.6
13012	9/2/2021 15:00	24	21	12	6	1
12488	9/2/2021 15:00	16	12		1	
13251	9/2/2021 14:00	46	43	25	8	1
12976	9/2/2021 15:00	17	9	9	3	2
13250	9/2/2021 15:00	91	45	2	44	70
5507	6/2/2021 15:00	22	13			
11778	9/2/2021 14:00	1	1	5	6	3.8
12958	9/2/2021 15:00	14	8	1	3	1
12957	9/2/2021 15:00			3	4	1
13015	9/2/2021 14:00	46	44	13	10	
13018	9/2/2021 14:00	32	21	9	5	
13019	9/2/2021 14:00	38	26	12	5	
