Station ID,Date,PM2.5,PM10,NO2,CO,SO2
12488,1/30/2021,21,20,,1,
13251,1/30/2021,183,160,29,13,1
12976,1/30/2021,137,71,19,7,4
13250,1/30/2021,175,69,7,38,150
5507,1/30/2021,54,28,5,,
11778,1/30/2021,12,8,12,5,99
12958,1/30/2021,182,99,27,6,3
12957,1/30/2021,119,74,21,3,4
13015,1/30/2021,192,147,48,34,
13018,1/30/2021,161,102,34,13,
13019,1/30/2021,178,118,49,17,
13026,1/30/2021,186,128,31,17,2
1584,1/30/2021,,,1,13,6
1585,1/30/2021,,,2,2,3
13017,1/30/2021,189,158,35,15,
13020,1/30/2021,156,104,35,15,
13013,1/30/2021,191,161,45,20,
13014,1/30/2021,176,112,,16,
13252,1/30/2021,189,168,,,1
8767,1/31/2021,59,,,,
8688,1/31/2021,,,,,
8641,1/31/2021,117,0,9.2,0.1,1.6
13012,1/31/2021,20,17,3,1,2
12488,1/31/2021,19,27,,1,
13251,1/31/2021,180,131,23,17,1
12976,1/31/2021,60,39,14,3,2
13250,1/31/2021,135,65,3,30,22
5507,1/31/2021,33,17,5,,
11778,1/31/2021,10,7,43,5,99
12958,1/31/2021,97,60,30,3,5
12957,1/31/2021,119,74,14,2,2
13015,1/31/2021,175,121,40,41,
13018,1/31/2021,140,71,19,5,
13019,1/31/2021,140,82,24,9,
13026,1/31/2021,184,111,21,8,1
1584,1/31/2021,,,1,7,6
1585,1/31/2021,,,11,3,4
13017,1/31/2021,179,132,23,14,
13020,1/31/2021,159,88,12,7,
13013,1/31/2021,183,132,28,19,
13014,1/31/2021,150,78,,7,
13252,1/31/2021,177,117,,,1
8767,2/3/2021,59,,,,
8688,2/3/2021,,,,,
8641,2/3/2021,161,0,12.8,0.1,4.6
13012,2/3/2021,24,16,2,1,2
12488,2/3/2021,54,42,,1,
13251,2/2/2021,111,78,28,18,1
12976,2/2/2021,34,28,15,2,2
13250,2/3/2021,155,68,4,28,19
5507,2/2/2021,43,22,,,
11778,2/2/2021,5,3,9,5,99
12958,2/2/2021,115,68,27,3,3
12957,2/2/2021,119,74,7,3,4
13015,2/2/2021,144,98,38,40,
13018,2/2/2021,97,56,16,6,
13019,2/2/2021,95,59,36,10,
13026,2/2/2021,113,70,18,4,1
1584,2/2/2021,,,1,3,6
1585,2/3/2021,,,7,2,3
13017,2/2/2021,119,81,23,17,
13020,2/2/2021,98,57,12,7,
13013,2/2/2021,131,94,26,21,
13014,2/2/2021,105,61,,7,
13252,2/2/2021,53,83,,,1
8767,2/3/2021,76,,,,
8688,2/3/2021,,,,,
8641,2/3/2021,93,0,11.5,0.1,4.6
13012,2/3/2021,37,28,5,2,2
12488,2/3/2021,30,32,,2,
13251,2/3/2021,108,67,22,13,1
12976,2/3/2021,40,31,6,1,2
13250,2/3/2021,183,90,6,31,54
5507,2/3/2021,45,23,,,
11778,2/3/2021,5,3,10,6,99
12958,2/3/2021,86,53,9,2,2
12957,2/3/2021,119,74,4,3,1
13015,2/3/2021,102,76,35,38,
13018,2/3/2021,82,52,9,4,
13019,2/3/2021,83,56,27,6,
13026,2/3/2021,103,60,14,2,1
1584,2/3/2021,,,1,13,6
1585,2/3/2021,,,2,1,3
13017,2/3/2021,98,74,25,14,
13020,2/3/2021,75,56,7,5,
13013,2/3/2021,102,76,27,20,
13014,2/3/2021,74,53,,5,
13252,2/2/2021,53,83,,,1
8767,2/5/2021,137,,,,
8688,2/5/2021,,,,,
8641,2/5/2021,124,0,19.2,0.1,4.6
13012,2/5/2021,14,12,5,2,1
12488,2/5/2021,38,90,,3,
13251,2/5/2021,114,81,18,9,1
12976,2/5/2021,50,40,9,2,3
13250,2/5/2021,54,14,4,31,59
5507,2/5/2021,31,22,,,
11778,2/5/2021,8,5,14,4,99
12958,2/5/2021,96,58,4,2,4
12957,2/5/2021,,,2,2,2
13015,2/5/2021,123,82,25,18,
13018,2/5/2021,82,51,15,4,
13019,2/5/2021,89,60,23,5,
